obs_ts,wind,geothermal,biomass,biogas,small_hydro,coal,nuclear,natural_gas,large_hydro,batteries,imports,other,biogas_co2,biomass_co2,natural_gas_co2,coal_co2,imports_co2,geothermal_co2
2020-01-01 3:25:00,392,644,287,231,209,8,2273,7032,1185,0,7905,0,121,134,3119,7,3477,6
2020-01-01 3:30:00,366,645,304,231,209,9,2273,6990,1202,0,7943,0,121,123,3094,6,3486,6
2020-01-01 3:35:00,338,643,304,231,210,9,2274,6972,1209,0,7949,0,121,134,3080,7,3505,6
2020-01-01 3:40:00,347,643,303,231,210,9,2273,6960,1207,0,7931,0,121,134,3074,7,3501,6
2020-01-01 3:45:00,378,644,287,231,210,9,2273,6931,1202,0,7903,0,121,133,3067,7,3495,6
2020-01-01 3:50:00,441,644,302,231,209,9,2273,6968,1200,0,7830,0,121,123,3052,7,3481,6
2020-01-01 3:55:00,518,644,301,232,209,9,2274,6895,1154,-9,7809,0,121,133,3069,7,3450,6
2020-01-01 4:00:00,585,644,303,232,209,9,2273,6848,1094,-7,7807,0,122,133,3042,7,3451,6
2020-01-01 4:05:00,626,644,290,232,209,9,2272,6839,1148,2,7764,0,122,127,3023,7,3446,6
2020-01-01 4:10:00,676,644,308,232,209,9,2272,6747,1212,28,7722,0,122,135,3035,7,3433,6
2020-01-01 4:15:00,736,644,307,232,211,10,2271,6569,1296,32,7693,0,122,136,2975,7,3423,6
2020-01-01 4:20:00,779,645,307,232,210,10,2271,6444,1274,0,7784,0,123,137,2925,8,3426,6
2020-01-01 4:25:00,799,645,308,232,210,10,2272,6461,1277,0,7782,0,123,137,2896,8,3485,6
2020-01-01 4:30:00,826,644,307,232,211,10,2272,6463,1261,0,7773,0,124,138,2901,8,3495,6
2020-01-01 4:35:00,889,643,306,232,209,10,2272,6469,1235,-6,7750,0,124,138,2907,8,3493,6
2020-01-01 4:40:00,902,643,284,232,208,9,2271,6449,1204,0,7786,0,124,137,2905,7,3482,6
2020-01-01 4:45:00,881,644,292,232,208,9,2272,6414,1262,0,7811,0,124,124,2902,7,3498,6
2020-01-01 4:50:00,848,643,306,232,209,10,2272,6303,1289,17,7889,0,124,138,2874,7,3523,6
2020-01-01 4:55:00,784,644,308,232,210,10,2271,6308,1340,7,7936,0,124,138,2845,8,3559,6
2020-01-01 5:00:00,699,643,264,232,209,10,2272,6296,1398,11,7989,0,125,139,2852,8,3589,6
2020-01-01 5:05:00,620,644,309,232,213,10,2272,6498,1447,49,7964,0,125,126,2872,8,3618,6
2020-01-01 5:10:00,552,644,311,231,226,9,2272,6672,1554,50,7836,0,124,140,2949,8,3596,6
2020-01-01 5:15:00,517,644,311,231,224,9,2272,6656,1549,0,7891,0,124,140,2989,7,3524,6
2020-01-01 5:20:00,519,644,310,231,223,10,2272,6750,1421,-8,7942,0,123,139,2962,7,3541,6
2020-01-01 5:25:00,512,644,312,231,224,10,2273,6927,1396,-15,7895,0,122,137,3013,8,3506,6
2020-01-01 5:30:00,521,644,311,231,225,10,2273,6859,1366,-6,7983,0,122,138,3060,8,3495,6
2020-01-01 5:35:00,521,643,312,231,224,10,2273,6703,1623,0,7833,0,121,138,3029,8,3526,6
2020-01-01 5:40:00,502,645,312,231,226,9,2273,6478,1744,10,7761,0,121,138,2920,8,3422,6
2020-01-01 5:45:00,470,645,312,230,227,10,2272,6488,1796,6,7749,0,121,138,2857,7,3417,6
2020-01-01 5:50:00,490,645,302,230,227,10,2272,6446,1765,0,7819,0,121,137,2851,8,3411,6
2020-01-01 5:55:00,558,644,281,230,228,9,2272,6466,1729,0,7840,0,121,131,2838,7,3446,6
2020-01-01 6:00:00,666,645,285,230,227,9,2273,6450,1739,-5,7822,0,120,122,2845,7,3446,6
2020-01-01 6:05:00,742,644,290,231,226,9,2272,6439,1763,-4,7921,0,120,126,2843,7,3444,6
2020-01-01 6:10:00,778,641,291,231,231,8,2272,6266,1806,0,8105,0,121,128,2831,7,3508,6
2020-01-01 6:15:00,777,644,293,231,233,7,2273,6151,1804,-4,8284,0,121,129,2756,6,3601,6
2020-01-01 6:20:00,761,644,293,231,232,8,2272,6183,1820,-1,8281,0,122,130,2737,6,3683,6
2020-01-01 6:25:00,133,644,292,231,232,8,2273,6599,1820,0,8351,0,123,131,2765,6,3704,6
2020-01-01 6:30:00,15,644,292,231,233,8,2272,6860,1849,23,8378,0,123,131,3045,7,3748,6
2020-01-01 6:35:00,-54,643,287,231,234,9,2273,6937,1908,27,8387,0,123,130,3075,7,3740,6
2020-01-01 6:40:00,-129,644,292,231,234,9,2272,6965,1878,15,8464,0,123,127,3100,7,3756,6
2020-01-01 6:45:00,-212,644,292,231,234,10,2272,7062,1872,12,8469,0,122,130,3109,7,3771,6
2020-01-01 6:50:00,-237,644,291,231,235,9,2273,7110,1827,0,8482,0,122,129,3131,8,3758,6
2020-01-01 6:55:00,227,644,289,230,235,9,2272,6721,1816,0,8430,0,121,128,3142,7,3742,6
2020-01-01 7:00:00,426,644,291,231,235,9,2272,6595,1861,0,8320,0,121,127,2868,7,3709,6
2020-01-01 7:05:00,420,644,284,231,235,9,2272,6485,1907,4,8357,0,121,127,2897,7,3668,6
2020-01-01 7:10:00,405,645,281,231,235,9,2272,6386,1903,16,8405,0,121,125,2853,7,3693,6
2020-01-01 7:15:00,389,643,282,231,235,8,2271,6332,1909,22,8382,0,121,124,2819,7,3710,6
2020-01-01 7:20:00,392,645,281,231,235,8,2272,6287,1880,7,8294,0,121,125,2801,6,3711,6
2020-01-01 7:25:00,405,645,282,230,235,8,2272,6173,1767,-8,8261,0,122,125,2780,6,3683,6
2020-01-01 7:30:00,429,644,282,231,234,8,2273,6058,1763,-7,8153,0,122,125,2736,6,3661,6
2020-01-01 7:35:00,453,644,284,231,233,9,2272,5934,1661,-7,8197,0,122,126,2678,6,3638,6
2020-01-01 7:40:00,484,644,282,230,233,8,2273,5964,1561,-15,7849,0,122,127,2657,7,3651,6
2020-01-01 7:45:00,511,645,281,231,232,8,2272,5895,1491,-20,7524,0,123,126,2668,7,3490,6
2020-01-01 7:50:00,553,646,281,231,231,9,2273,5560,1410,-14,7611,0,123,126,2642,7,3349,6
2020-01-01 7:55:00,576,645,281,231,232,9,2272,5442,1510,26,7409,0,124,127,2495,7,3418,6
2020-01-01 8:00:00,644,645,283,231,233,9,2272,5190,1663,11,6912,0,124,127,2486,7,3332,6
2020-01-01 8:05:00,706,645,282,230,234,9,2273,4805,1596,-3,6944,0,126,130,2363,7,3182,6
2020-01-01 8:10:00,766,645,281,230,234,9,2273,4744,1456,0,6940,0,126,130,2190,8,3220,6
2020-01-01 8:15:00,798,643,280,230,218,8,2273,4814,1342,-20,6440,0,128,131,2230,7,3203,6
2020-01-01 8:20:00,806,644,281,231,213,8,2273,4694,1100,-33,6215,0,128,132,2266,7,2967,6
2020-01-01 8:25:00,855,644,281,230,218,9,2273,4984,1010,-12,6027,0,129,132,2246,7,2944,6
2020-01-01 8:30:00,878,644,282,230,222,9,2273,5188,1129,46,5339,0,130,134,2401,8,2797,6
2020-01-01 8:35:00,864,643,281,230,223,9,2273,4984,1153,11,5221,0,130,133,2448,8,2511,6
2020-01-01 8:40:00,882,643,279,230,223,9,2273,4714,1033,-33,5078,0,129,133,2307,8,2468,6
2020-01-01 8:45:00,871,643,278,229,222,9,2272,4497,960,-33,4929,0,128,131,2203,8,2370,6
2020-01-01 8:50:00,847,643,278,229,220,9,2272,4355,964,-3,4773,0,128,130,2061,7,2296,6
2020-01-01 8:55:00,876,642,281,229,205,10,2272,4508,936,38,4474,0,126,130,2021,7,2180,6
2020-01-01 9:00:00,926,642,281,229,199,10,2272,4700,892,42,4399,0,126,130,2102,8,2046,6
2020-01-01 9:05:00,935,641,281,229,199,10,2272,4762,1005,43,4103,0,125,128,2144,8,1990,6
2020-01-01 9:10:00,943,640,280,229,187,10,2272,4637,1100,29,3921,0,124,127,2164,8,1828,6
2020-01-01 9:15:00,936,640,278,229,178,10,2272,4580,979,-9,3735,0,123,126,2097,8,1750,6
2020-01-01 9:20:00,921,640,277,229,177,9,2273,4365,855,-10,3778,0,123,126,2064,8,1682,6
2020-01-01 9:25:00,892,640,280,229,176,9,2272,4385,927,24,3489,0,124,127,2018,7,1696,6
2020-01-01 9:30:00,853,641,278,229,176,9,2274,4300,784,21,3562,0,125,129,1992,7,1578,6
2020-01-01 9:35:00,844,640,277,229,176,9,2273,4296,623,29,3608,0,125,127,1976,7,1641,6
2020-01-01 9:40:00,864,642,276,229,176,9,2273,4265,531,21,3599,0,124,127,1949,7,1649,6
2020-01-01 9:45:00,860,643,276,229,177,10,2273,4283,503,24,3600,0,124,126,1946,7,1641,6
2020-01-01 9:50:00,870,641,270,229,177,10,2272,4380,542,29,3757,0,124,126,1959,8,1646,6
2020-01-01 9:55:00,836,642,274,228,176,10,2274,4331,491,-14,3543,0,124,124,1993,8,1699,6
2020-01-01 10:00:00,851,642,279,227,177,10,2272,4190,420,-9,3538,0,124,126,1984,8,1600,6
2020-01-01 10:05:00,888,642,277,225,178,9,2273,4201,446,10,3499,0,123,127,1930,8,1621,6
2020-01-01 10:10:00,928,642,277,226,177,10,2272,4106,458,6,3417,0,123,128,1938,8,1604,6
2020-01-01 10:15:00,1011,642,283,227,178,10,2273,4144,452,2,3315,0,126,130,1925,8,1581,6
2020-01-01 10:20:00,1130,642,283,227,177,10,2273,4095,392,-35,3159,0,126,133,1946,8,1551,6
2020-01-01 10:25:00,1253,641,286,227,177,10,2272,3991,285,-27,3287,0,126,133,1911,8,1479,6
2020-01-01 10:30:00,1333,641,278,227,178,10,2273,4083,336,6,3418,0,127,134,1870,8,1577,6
2020-01-01 10:35:00,1390,641,289,227,178,10,2274,4099,459,6,3333,0,128,133,1932,8,1603,6
2020-01-01 10:40:00,1388,640,289,227,179,10,2273,4128,511,6,3400,0,127,136,1914,9,1560,6
2020-01-01 10:45:00,1383,640,287,227,179,10,2273,4148,558,35,3451,0,126,135,1936,8,1609,6
2020-01-01 10:50:00,1408,640,289,227,179,10,2273,4057,565,17,3473,0,126,135,1941,9,1603,6
2020-01-01 10:55:00,1417,638,282,226,178,10,2273,4088,577,24,3422,0,126,132,1898,8,1626,6
2020-01-01 11:00:00,1473,638,286,226,178,10,2274,4073,567,14,3289,0,126,135,1922,8,1588,6
2020-01-01 11:05:00,1544,639,287,227,176,9,2272,4023,473,-2,2888,0,126,134,1898,8,1498,6
2020-01-01 11:10:00,1528,639,286,227,175,9,2273,4005,364,-32,2735,0,126,135,1886,8,1320,6
2020-01-01 11:15:00,1447,639,288,226,175,10,2273,4166,528,29,2913,0,127,135,1918,8,1303,6
2020-01-01 11:20:00,1385,639,289,227,175,11,2273,4119,631,49,3186,0,127,135,1943,9,1385,6
2020-01-01 11:25:00,1331,638,288,227,174,11,2273,4134,725,49,3202,0,126,135,1931,9,1502,6
2020-01-01 11:30:00,1329,637,289,229,174,11,2273,4129,789,43,3061,0,126,134,1931,9,1489,6
2020-01-01 11:35:00,1305,638,283,229,174,10,2274,4004,661,15,2911,0,127,135,1904,8,1409,6
2020-01-01 11:40:00,1277,637,288,229,175,10,2273,3981,526,26,2967,0,127,131,1875,8,1352,6
2020-01-01 11:45:00,1257,638,292,230,176,11,2274,4056,557,27,3025,0,128,135,1876,8,1384,6
2020-01-01 11:50:00,1249,638,295,230,177,11,2272,4170,680,49,3044,0,128,138,1897,9,1436,6
2020-01-01 11:55:00,1316,638,290,230,178,11,2273,4044,709,26,2985,0,128,139,1941,9,1417,6
2020-01-01 12:00:00,1444,636,299,230,177,9,2274,3948,504,-33,2547,0,127,133,1867,9,1387,6
2020-01-01 12:05:00,1582,636,303,230,176,9,2274,3939,287,-40,2445,0,128,140,1848,7,1163,6
2020-01-01 12:10:00,1773,638,311,231,175,9,2273,3979,201,-22,2645,0,128,143,1852,7,1165,6
2020-01-01 12:15:00,1989,638,300,229,177,9,2273,4056,347,-22,2402,0,129,141,1882,7,1208,6
2020-01-01 12:20:00,2167,638,288,230,178,9,2272,4128,496,-2,2477,0,129,148,1926,7,1138,6
2020-01-01 12:25:00,2268,638,279,231,178,9,2273,4112,524,9,2614,0,128,134,1927,8,1187,6
2020-01-01 12:30:00,2372,636,278,230,178,9,2273,4024,447,-21,2544,0,128,130,1928,8,1217,6
2020-01-01 12:35:00,1896,638,287,228,176,10,2273,4382,263,-41,2750,0,128,131,1874,8,1199,6
2020-01-01 12:40:00,2470,638,292,224,178,11,2272,4083,283,20,2942,0,126,135,2156,9,1322,6
2020-01-01 12:45:00,2532,637,295,223,177,10,2272,4173,457,6,2760,0,125,138,1926,9,1352,6
2020-01-01 12:50:00,2464,637,272,222,176,10,2273,4161,546,15,2902,0,124,139,1973,8,1306,6
2020-01-01 12:55:00,2408,637,301,222,176,10,2272,4225,638,33,2945,0,124,132,1951,8,1370,6
2020-01-01 13:00:00,2401,637,302,221,177,10,2272,4186,765,34,2836,0,123,141,1974,8,1365,6
2020-01-01 13:05:00,2458,638,304,223,176,10,2273,4113,701,27,2691,0,123,141,1930,9,1302,6
2020-01-01 13:10:00,2510,639,292,223,174,10,2272,4119,613,-12,2513,0,123,142,1928,8,1247,6
2020-01-01 13:15:00,2454,639,310,224,174,10,2272,4237,650,39,2624,0,124,139,1947,8,1170,6
2020-01-01 13:20:00,2468,639,313,223,175,10,2271,4181,690,39,2652,0,124,145,1971,8,1255,6
2020-01-01 13:25:00,2476,639,317,223,176,10,2272,4139,642,36,2639,0,124,147,1940,8,1236,6
2020-01-01 13:30:00,2505,638,296,224,177,9,2271,4185,613,18,2535,0,124,148,1936,8,1230,6
2020-01-01 13:35:00,2494,639,317,223,177,10,2272,4141,545,-1,2766,0,124,141,1948,8,1207,6
2020-01-01 13:40:00,2416,638,319,223,179,10,2273,4232,629,40,2839,0,124,148,1933,8,1309,6
2020-01-01 13:45:00,2341,638,318,225,180,11,2273,4313,729,49,2868,0,124,149,1980,9,1342,6
2020-01-01 13:50:00,2269,639,297,226,181,11,2273,4245,751,42,2813,0,125,148,2020,9,1321,6
2020-01-01 13:55:00,2110,638,303,228,180,10,2271,4359,671,34,2806,0,125,141,1971,9,1306,6
2020-01-01 14:00:00,2252,639,318,228,179,10,2273,4285,623,22,2816,0,126,138,2057,8,1306,6
2020-01-01 14:05:00,2302,639,317,229,178,9,2272,4253,574,-35,2634,0,126,148,1982,8,1291,6
2020-01-01 14:10:00,2298,639,318,232,196,10,2272,4152,432,-43,2609,0,127,147,1982,8,1208,6
2020-01-01 14:15:00,2275,639,302,231,197,10,2272,4384,521,21,2968,0,128,141,1944,8,1260,6
2020-01-01 14:20:00,2280,640,318,231,198,10,2272,4535,696,15,2913,0,128,148,2095,8,1403,6
2020-01-01 14:25:00,2282,639,316,231,198,10,2273,4540,742,20,2974,0,128,148,2107,8,1355,6
2020-01-01 14:30:00,2334,638,316,231,198,9,2273,4500,724,-12,2757,0,127,147,2114,8,1402,6
2020-01-01 14:35:00,2387,638,316,230,197,9,2273,4590,658,-30,2394,0,127,147,2094,8,1248,6
2020-01-01 14:40:00,2446,639,319,230,196,9,2273,4435,653,-36,2592,0,128,148,2173,7,1080,6
2020-01-01 14:45:00,2577,639,304,230,197,9,2272,4646,665,18,2764,0,128,143,2102,8,1276,6
2020-01-01 14:50:00,2664,639,321,229,196,10,2272,4812,738,27,2770,0,129,151,2237,8,1270,6
2020-01-01 14:55:00,2706,640,321,229,198,10,2271,4777,826,19,2993,0,129,152,2286,8,1335,6
2020-01-01 15:00:00,2746,639,320,230,200,10,2270,4808,863,0,3076,0,129,152,2240,8,1434,6
2020-01-01 15:05:00,2753,639,304,230,201,9,2272,4872,896,-21,3370,0,129,144,2270,8,1495,6
2020-01-01 15:10:00,2712,639,320,231,200,10,2271,4903,915,-6,3815,0,129,150,2326,8,1602,6
2020-01-01 15:15:00,2675,640,319,231,201,10,2271,4995,1006,-4,4133,0,130,151,2325,8,1819,6
2020-01-01 15:20:00,2621,640,297,231,202,11,2271,5029,1172,47,4587,0,130,150,2367,9,2002,6
2020-01-01 15:25:00,2659,640,318,231,202,10,2271,5063,1207,46,4448,0,130,144,2374,9,2181,6
2020-01-01 15:30:00,2689,641,296,231,200,10,2271,4959,1327,-30,4222,0,129,150,2402,8,2052,6
2020-01-01 15:35:00,2697,641,319,231,204,10,2271,4984,1372,-7,4803,0,130,143,2342,8,2061,6
2020-01-01 15:40:00,2663,641,297,231,208,10,2272,5129,1504,32,5223,0,131,153,2411,8,2333,6
2020-01-01 15:45:00,2634,641,303,231,203,10,2271,5205,1496,3,5597,0,132,138,2453,9,2522,6
2020-01-01 15:50:00,2616,641,320,231,202,10,2270,5303,1447,0,6234,0,131,152,2501,8,2733,6
2020-01-01 15:55:00,2586,641,322,231,202,10,2271,5363,1495,0,6522,0,130,152,2511,8,2994,6
2020-01-01 16:00:00,2635,642,325,230,218,10,2270,5357,1596,-30,6814,0,130,152,2538,8,3096,6
2020-01-01 16:05:00,2662,642,311,230,233,10,2271,5278,1857,-19,6766,0,128,146,2492,8,3231,6
2020-01-01 16:10:00,2616,643,329,230,269,9,2271,5263,2061,-29,6587,0,129,153,2507,8,3125,6
2020-01-01 16:15:00,2595,642,330,230,269,10,2270,5327,2116,-25,6778,0,129,155,2499,8,3102,6
2020-01-01 16:20:00,2554,643,307,230,270,10,2270,5475,2207,-16,6955,0,128,155,2465,8,3223,6
2020-01-01 16:25:00,2508,643,315,230,270,10,2271,5606,2291,3,7183,0,127,140,2553,8,3264,6
2020-01-01 16:30:00,2488,644,327,230,271,10,2271,5656,2326,-11,7396,0,127,153,2608,8,3343,6
2020-01-01 16:35:00,2457,643,327,230,271,10,2271,5743,2283,-7,7714,0,126,151,2600,8,3434,6
2020-01-01 16:40:00,2421,643,282,230,271,10,2271,5857,2268,-5,7970,0,125,150,2644,8,3563,6
2020-01-01 16:45:00,2396,644,329,230,271,10,2272,5985,2288,-1,8168,0,125,136,2677,8,3650,6
2020-01-01 16:50:00,2374,644,329,231,271,10,2271,5856,2578,-4,8133,0,124,150,2718,8,3723,6
2020-01-01 16:55:00,2370,643,328,230,269,9,2272,5785,2592,-2,8375,0,123,148,2628,8,3683,6
2020-01-01 17:00:00,2385,643,305,230,269,9,2272,5758,2623,-8,8658,0,123,147,2596,8,3791,6
2020-01-01 17:05:00,2378,644,314,231,270,9,2272,5983,2936,-12,8600,0,123,134,2614,7,3899,6
2020-01-01 17:10:00,2408,644,329,230,270,9,2272,6017,3068,-16,8716,0,124,149,2735,7,3873,6
2020-01-01 17:15:00,2449,644,329,231,270,9,2271,5987,3107,-12,9027,0,125,150,2716,7,4005,6
2020-01-01 17:20:00,2497,644,307,231,270,10,2272,5936,3287,-3,9082,0,125,150,2749,7,4111,6
2020-01-01 17:25:00,2523,644,314,231,271,9,2272,5977,3283,-3,9161,0,125,137,2716,8,4162,6
2020-01-01 17:30:00,2510,644,328,231,270,9,2272,6014,3289,-3,9219,0,126,151,2753,8,4201,6
2020-01-01 17:35:00,2479,644,328,231,270,9,2272,6044,3283,-3,9344,0,126,150,2755,7,4234,6
2020-01-01 17:40:00,2470,644,304,230,270,8,2271,6022,3288,-2,9472,0,125,150,2760,7,4282,6
2020-01-01 17:45:00,2463,644,326,230,271,8,2272,6061,3287,-2,9522,0,125,142,2754,6,4326,6
2020-01-01 17:50:00,2453,645,325,230,270,8,2272,6070,3303,7,9518,0,125,149,2763,7,4346,6
2020-01-01 17:55:00,2427,644,327,231,269,8,2271,6103,3316,3,9539,0,125,148,2770,7,4342,6
2020-01-01 18:00:00,2378,645,326,231,269,8,2271,6174,3363,9,9500,0,125,149,2790,7,4355,6
2020-01-01 18:05:00,2369,645,326,231,272,8,2271,6118,3297,-5,9598,0,125,149,2812,7,4340,6
2020-01-01 18:10:00,2335,645,327,231,277,8,2273,6091,3271,-5,9701,0,125,149,2794,7,4399,6
2020-01-01 18:15:00,2307,644,328,231,277,8,2272,6096,3280,-1,9716,0,126,150,2790,7,4441,6
2020-01-01 18:20:00,2276,644,328,231,278,8,2272,6125,3309,3,9726,0,126,150,2792,6,4452,6
2020-01-01 18:25:00,2225,645,327,231,280,8,2273,6111,3388,3,9675,0,126,150,2807,6,4449,6
2020-01-01 18:30:00,2185,645,328,231,281,9,2272,6104,3412,9,9682,0,126,149,2795,7,4433,6
2020-01-01 18:35:00,2171,644,314,231,281,9,2273,6068,3416,11,9658,0,126,150,2798,7,4431,6
2020-01-01 18:40:00,2208,645,327,231,281,8,2272,6121,3298,-5,9630,0,126,140,2768,7,4425,6
2020-01-01 18:45:00,2260,645,329,231,280,7,2272,6250,3186,-3,9533,0,126,150,2821,6,4395,6
2020-01-01 18:50:00,2372,646,329,231,281,6,2272,6162,3150,-5,9516,0,125,150,2847,6,4352,6
2020-01-01 18:55:00,2525,647,314,231,281,7,2272,6184,3087,-12,9447,0,125,150,2798,5,4320,6
2020-01-01 19:00:00,2681,646,327,231,282,8,2272,6144,3076,-15,9360,0,125,139,2818,6,4281,6
2020-01-01 19:05:00,2768,647,327,231,282,8,2271,6073,2928,-16,9416,0,125,149,2794,6,4273,6
2020-01-01 19:10:00,2757,646,328,231,282,7,2271,6080,2959,-16,9393,0,125,149,2780,6,4313,6
2020-01-01 19:15:00,2691,647,312,231,282,7,2271,6062,2969,-16,9404,0,126,150,2779,6,4307,6
2020-01-01 19:20:00,2636,646,327,231,282,7,2270,6156,2963,-16,9366,0,126,140,2786,6,4301,6
2020-01-01 19:25:00,2609,647,328,231,281,7,2272,6175,2948,-16,9368,0,126,151,2835,5,4310,6
2020-01-01 19:30:00,2604,646,329,232,280,8,2272,6184,2957,-16,9351,0,126,151,2834,6,4306,6
2020-01-01 19:35:00,2573,647,313,231,280,8,2272,6150,2987,-16,9403,0,126,143,2818,6,4290,6
2020-01-01 19:40:00,2500,647,330,231,280,7,2272,6343,2774,24,9635,0,126,150,2830,6,4308,6
2020-01-01 19:45:00,2438,647,329,232,282,7,2272,6433,2814,0,9569,0,126,151,2929,5,4410,6
2020-01-01 19:50:00,2452,645,329,231,282,10,2272,6414,2732,-16,9579,0,126,151,2949,6,4395,6
2020-01-01 19:55:00,2458,647,327,231,282,8,2272,6579,2700,-16,9448,0,126,151,2963,8,4390,6
2020-01-01 20:00:00,2445,647,326,231,283,8,2273,6667,2669,-16,9332,0,126,150,3027,7,4321,6
2020-01-01 20:05:00,2429,647,325,232,278,9,2273,6787,2520,-3,9285,0,126,149,3044,7,4258,6
2020-01-01 20:10:00,2428,648,324,231,275,8,2273,6913,2476,0,9185,0,125,147,3080,7,4207,6
2020-01-01 20:15:00,2445,648,295,232,274,8,2273,6963,2468,0,9058,0,123,145,3094,6,4094,6
2020-01-01 20:20:00,2457,648,323,231,274,8,2272,6970,2460,0,9028,0,122,124,3078,6,4022,6
2020-01-01 20:25:00,2447,648,325,231,273,8,2272,6876,2462,0,9054,0,121,143,3062,6,3989,6
2020-01-01 20:30:00,2413,647,326,231,273,8,2273,6802,2458,0,9102,0,121,143,3034,6,3992,6
2020-01-01 20:35:00,2391,647,296,231,272,8,2273,6711,2458,0,9150,0,122,144,3008,6,4039,6
