Organization Name,Period,Company Name,Tenant Reference,Agreement Name,Tenant Primary Domain,Subscription ID,Subscription Name,Account Department Tag,Account Cost Center Tag,Account Project Tag,Account Owner Tag,Account Custom Tag,Product ID,Product SKU,Meter ID,Meter Name,Category,Subcategory,Product Start Date,Product End Date,Publisher,Unit Price,Quantity,Included Quantity,Unit,Reseller Price,Included Quantity Amount,Summed Amount,Currency,Reseller Markup (%),Reseller Markup,Reseller Sales Unit Price,Reseller Sales Price Total
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,5.60,0.00,Each,0.28,0.00,0.28,USD,0%,0.00,0.05,0.28
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Simple Storage Service,ReadACL,9/1/2021,9/30/2021,Amazon,0.09,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.09,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-TimedStorage-ByteHrs,Amazon Simple Storage Service,StandardStorage,9/1/2021,9/30/2021,Amazon,0.02,0.11,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.02,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:VolumeUsage.gp2,Amazon Elastic Compute Cloud,CreateVolume-Gp2,9/1/2021,9/30/2021,Amazon,0.11,450.35,0.00,Each,51.34,0.00,51.34,USD,0%,0.00,0.11,51.34
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Requests-Tier2,Amazon Simple Storage Service,ReadBucketLifecycle,9/1/2021,9/30/2021,Amazon,0.00,100664.00,0.00,Each,0.04,0.00,0.04,USD,0%,0.00,0.00,0.04
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Requests-Tier2,Amazon Simple Storage Service,ReadACL,9/1/2021,9/30/2021,Amazon,0.00,120136.00,0.00,Each,0.05,0.00,0.05,USD,0%,0.00,0.00,0.05
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Regional-Bytes,Amazon Elastic Compute Cloud,PublicIP-In,9/1/2021,9/30/2021,Amazon,0.01,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.01,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Simple Storage Service,ReadLocation,9/1/2021,9/30/2021,Amazon,0.08,0.01,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.08,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Requests-Tier2,Amazon Simple Storage Service,ReadBucketPublicAccessBlock,9/1/2021,9/30/2021,Amazon,0.00,551.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,171.60,0.00,Each,8.58,0.00,8.58,USD,0%,0.00,0.05,8.58
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,Requests-Tier2,Amazon Simple Storage Service,ReadAccountPublicAccessBlock,9/1/2021,9/30/2021,Amazon,0.00,84.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,21.50,0.00,Each,1.08,0.00,1.08,USD,0%,0.00,0.05,1.08
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,0.20,0.00,Each,0.01,0.00,0.01,USD,0%,0.00,0.05,0.01
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Virtual Private Cloud,CreateVpnConnection,9/1/2021,9/30/2021,Amazon,0.08,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.08,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Requests-Tier2,Amazon Simple Storage Service,HeadBucket,9/1/2021,9/30/2021,Amazon,0.00,581.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-AFS1-AWS-In-Bytes,Amazon Simple Storage Service,PutObject,9/1/2021,9/30/2021,Amazon,0.00,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-APN3-AWS-Out-Bytes,Amazon Simple Storage Service,ReadACL,9/1/2021,9/30/2021,Amazon,0.09,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.09,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-USW2-AWS-Out-Bytes,Amazon Virtual Private Cloud,CreateVpnConnection,9/1/2021,9/30/2021,Amazon,0.08,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.08,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-APS1-AWS-In-Bytes,Amazon Elastic Compute Cloud,PublicIP-In,9/1/2021,9/30/2021,Amazon,0.00,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Simple Storage Service,ReadBucketLifecycle,9/1/2021,9/30/2021,Amazon,0.08,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.08,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-TimedStorage-ByteHrs,AmazonCloudWatch,HourlyStorageMetering,9/1/2021,9/30/2021,Amazon,0.03,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.03,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,19.20,0.00,Each,0.96,0.00,0.96,USD,0%,0.00,0.05,0.96
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-APN1-AWS-In-Bytes,Amazon Elastic Compute Cloud,PublicIP-In,9/1/2021,9/30/2021,Amazon,0.00,0.64,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Requests-Tier2,Amazon Simple Storage Service,ReadLocation,9/1/2021,9/30/2021,Amazon,0.00,201586.00,0.00,Each,0.08,0.00,0.08,USD,0%,0.00,0.00,0.08
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,0.11,0.00,Each,0.01,0.00,0.01,USD,0%,0.00,0.05,0.01
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-CW:Requests,AmazonCloudWatch,ListMetrics,9/1/2021,9/30/2021,Amazon,0.00,100649.00,0.00,Each,1.01,0.00,1.01,USD,0%,0.00,0.00,1.01
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:VolumeUsage.gp2,Amazon Elastic Compute Cloud,CreateVolume-Gp2,9/1/2021,9/30/2021,Amazon,0.11,48.00,0.00,Each,5.47,0.00,5.47,USD,0%,0.00,0.11,5.47
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Simple Storage Service,ReadBucketReplication,9/1/2021,9/30/2021,Amazon,0.08,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.08,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Lambda-GB-Second,AWS Lambda,Invoke,9/1/2021,9/30/2021,Amazon,0.00,10.17,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EUW2-AWS-In-Bytes,Amazon Elastic Compute Cloud,PublicIP-In,9/1/2021,9/30/2021,Amazon,0.00,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Requests-Tier2,Amazon Simple Storage Service,ReadCostAllocation,9/1/2021,9/30/2021,Amazon,0.00,100708.00,0.00,Each,0.04,0.00,0.04,USD,0%,0.00,0.00,0.04
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Elastic Compute Cloud,RunInstances,9/1/2021,9/30/2021,Amazon,0.09,0.95,0.00,Each,0.08,0.00,0.08,USD,0%,0.00,0.09,0.08
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Elastic Compute Cloud,RunInstances,9/1/2021,9/30/2021,Amazon,0.09,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.09,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,3.63,0.00,Each,0.18,0.00,0.18,USD,0%,0.00,0.05,0.18
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Request,AWS Lambda,Invoke,9/1/2021,9/30/2021,Amazon,0.00,341.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-In-Bytes,Amazon Elastic Compute Cloud,RunInstances,9/1/2021,9/30/2021,Amazon,0.00,66.54,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-USE2-AWS-Out-Bytes,Elastic Load Balancing,LoadBalancing-PublicIP-Out,9/1/2021,9/30/2021,Amazon,0.09,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.09,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Virtual Private Cloud,CreateVpnConnection,9/1/2021,9/30/2021,Amazon,0.08,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.08,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Simple Storage Service,ReadCostAllocation,9/1/2021,9/30/2021,Amazon,0.08,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.08,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:VolumeUsage.gp2,Amazon Elastic Compute Cloud,CreateVolume-Gp2,9/1/2021,9/30/2021,Amazon,0.11,401.23,0.00,Each,45.74,0.00,45.74,USD,0%,0.00,0.11,45.74
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Simple Storage Service,ReadCostAllocation,9/1/2021,9/30/2021,Amazon,0.09,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.09,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-AWSSecretsManager-Secrets,AWS Secrets Manager,SecretUsage,9/1/2021,9/30/2021,Amazon,0.40,1.00,0.00,Each,0.40,0.00,0.40,USD,0%,0.00,0.40,0.40
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Out-Bytes,Amazon Simple Storage Service,ReadLocation,9/1/2021,9/30/2021,Amazon,0.08,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.08,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,0.05,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.05,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-APN3-AWS-In-Bytes,Amazon Simple Storage Service,PutObject,9/1/2021,9/30/2021,Amazon,0.00,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Requests-Tier1,Amazon Simple Storage Service,PutObject,9/1/2021,9/30/2021,Amazon,0.00,76298.00,0.00,Each,0.38,0.00,0.38,USD,0%,0.00,0.00,0.38
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:VolumeUsage.gp2,Amazon Elastic Compute Cloud,CreateVolume-Gp2,9/1/2021,9/30/2021,Amazon,0.11,950.00,0.00,Each,108.30,0.00,108.30,USD,0%,0.00,0.11,108.30
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,ap-south-1-KMS-Requests,AWS Key Management Service,DescribeKey,9/1/2021,9/30/2021,Amazon,0.00,48.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-TimedStorage-ByteHrs,AmazonCloudWatch,HourlyStorageMetering,9/1/2021,9/30/2021,Amazon,0.03,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.03,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-USE1-AWS-In-Bytes,Amazon Elastic Compute Cloud,PublicIP-In,9/1/2021,9/30/2021,Amazon,0.00,0.02,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,1.88,0.00,Each,0.09,0.00,0.09,USD,0%,0.00,0.05,0.09
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-DataTransfer-Regional-Bytes,Amazon Elastic Compute Cloud,InterZone-Out,9/1/2021,9/30/2021,Amazon,0.01,0.04,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.01,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,5.91,0.00,Each,0.30,0.00,0.30,USD,0%,0.00,0.05,0.30
